BCC Fe edge dislocation + rigid particle

17136 atoms
2 atom types

0.0 64.2923836376 xlo xhi
0.0 64.6086294397 ylo yhi
0.0 48.9586250987 zlo zhi

Masses

1 55.845
2 55.845

Atoms # atomic

1 1 0.82426133 0.00000000 2.33136310
2 1 0.00000000 0.00000000 0.00000000
3 1 2.47278399 0.00000000 -0.00000000
4 1 0.82426133 4.03803934 2.33136310
5 1 0.00000000 4.03803934 -0.00000000
6 1 2.47278399 4.03803934 -0.00000000
7 1 0.82426133 2.01901967 5.82840775
8 1 0.00000000 2.01901967 3.49704465
9 1 2.47278399 2.01901967 3.49704465
10 1 1.64852266 2.01901967 1.16568155
11 1 4.12130664 2.01901967 1.16568155
12 1 0.82426133 0.00000000 9.32545240
13 1 0.00000000 0.00000000 6.99408930
14 1 2.47278399 0.00000000 6.99408930
15 1 1.64852266 0.00000000 4.66272620
16 1 4.12130664 0.00000000 4.66272620
17 1 3.29704531 0.00000000 2.33136310
18 1 5.76982930 0.00000000 2.33136310
19 1 4.94556797 0.00000000 -0.00000000
20 1 7.41835196 0.00000000 0.00000000
21 1 0.82426133 8.07607868 2.33136310
22 1 0.00000000 8.07607868 -0.00000000
23 1 2.47278399 8.07607868 0.00000000
24 1 0.82426133 6.05705901 5.82840775
25 1 0.00000000 6.05705901 3.49704465
26 1 2.47278399 6.05705901 3.49704465
27 1 1.64852266 6.05705901 1.16568155
28 1 4.12130664 6.05705901 1.16568155
29 1 0.82426133 4.03803934 9.32545240
30 1 0.00000000 4.03803934 6.99408930
31 1 2.47278399 4.03803934 6.99408930
32 1 1.64852266 4.03803934 4.66272620
33 1 4.12130664 4.03803934 4.66272620
34 1 3.29704531 4.03803934 2.33136310
35 1 5.76982930 4.03803934 2.33136310
36 1 4.94556797 4.03803934 -0.00000000
37 1 7.41835196 4.03803934 0.00000000
38 1 0.82426133 2.01901967 12.82249705
39 1 -0.00000000 2.01901967 10.49113395
40 1 2.47278399 2.01901967 10.49113395
41 1 1.64852266 2.01901967 8.15977085
42 1 4.12130664 2.01901967 8.15977085
43 1 3.29704531 2.01901967 5.82840775
44 1 5.76982930 2.01901967 5.82840775
45 1 4.94556797 2.01901967 3.49704465
46 1 7.41835196 2.01901967 3.49704465
47 1 6.59409063 2.01901967 1.16568155
48 1 9.06687462 2.01901967 1.16568155
49 1 0.82426133 0.00000000 16.31954170
50 1 0.00000000 0.00000000 13.98817860
51 1 2.47278399 0.00000000 13.98817860
52 1 1.64852266 0.00000000 11.65681550
53 1 4.12130664 0.00000000 11.65681550
54 1 3.29704531 0.00000000 9.32545240
55 1 5.76982930 0.00000000 9.32545240
56 1 4.94556797 0.00000000 6.99408930
57 1 7.41835196 0.00000000 6.99408930
58 1 6.59409063 0.00000000 4.66272620
59 1 9.06687462 0.00000000 4.66272620
60 1 8.24261329 0.00000000 2.33136310
61 1 10.71539727 0.00000000 2.33136310
62 1 9.89113594 0.00000000 -0.00000000
63 1 12.36391993 0.00000000 0.00000000
64 1 0.82426133 12.11411802 2.33136310
65 1 -0.00000000 12.11411802 0.00000000
66 1 2.47278399 12.11411802 0.00000000
67 1 0.82426133 10.09509835 5.82840775
68 1 -0.00000000 10.09509835 3.49704465
69 1 2.47278399 10.09509835 3.49704465
70 1 1.64852266 10.09509835 1.16568155
71 1 4.12130664 10.09509835 1.16568155
72 1 0.82426133 8.07607868 9.32545240
73 1 -0.00000000 8.07607868 6.99408930
74 1 2.47278399 8.07607868 6.99408930
75 1 1.64852266 8.07607868 4.66272620
76 1 4.12130664 8.07607868 4.66272620
77 1 3.29704531 8.07607868 2.33136310
78 1 5.76982930 8.07607868 2.33136310
79 1 4.94556797 8.07607868 -0.00000000
80 1 7.41835196 8.07607868 0.00000000
81 1 0.82426133 6.05705901 12.82249705
